tc_compra,tc_venta,fecha,año,mes,spread,variacion_pct,alta_volatilidad
,,2015-01-01,2015,1,,,False
,,2015-01-02,2015,1,,,False
2.989,2.992,2015-01-05,2015,1,-0.0030000000000001137,,False
2.981,2.983,2015-01-06,2015,1,-0.002000000000000224,-0.30080213903742603,False
2.984,2.987,2015-01-07,2015,1,-0.0030000000000001137,0.1340931947703572,False
2.986,2.989,2015-01-08,2015,1,-0.0029999999999996696,0.06695681285568966,False
2.982,2.986,2015-01-09,2015,1,-0.0040000000000000036,-0.10036801605887158,False
2.987,2.989,2015-01-12,2015,1,-0.0019999999999997797,0.10046885465504474,False
2.983,2.985,2015-01-13,2015,1,-0.0019999999999997797,-0.13382402141184357,False
2.991,2.994,2015-01-14,2015,1,-0.0030000000000001137,0.3015075376884502,False
2.994,2.997,2015-01-15,2015,1,-0.0029999999999996696,0.10020040080158665,False
3.007,3.013,2015-01-16,2015,1,-0.005999999999999783,0.5338672005338774,True
3.007,3.012,2015-01-19,2015,1,-0.004999999999999893,-0.033189512114173425,False
3.007,3.009,2015-01-20,2015,1,-0.0019999999999997797,-0.09960159362549792,False
3.009,3.011,2015-01-21,2015,1,-0.002000000000000224,0.0664672648720499,False
3.002,3.004,2015-01-22,2015,1,-0.002000000000000224,-0.23248090335437066,False
3.009,3.012,2015-01-23,2015,1,-0.0030000000000001137,0.26631158455392434,False
3.017,3.02,2015-01-26,2015,1,-0.0030000000000001137,0.26560424966799445,False
3.022,3.024,2015-01-27,2015,1,-0.002000000000000224,0.13245033112583293,False
3.027,3.029,2015-01-28,2015,1,-0.0019999999999997797,0.16534391534390736,False
3.042,3.045,2015-01-29,2015,1,-0.0030000000000001137,0.5282271376692016,True
3.056,3.058,2015-01-30,2015,1,-0.0019999999999997797,0.42692939244663997,False
3.057,3.06,2015-02-02,2015,2,-0.0030000000000001137,0.06540222367561466,False
3.057,3.059,2015-02-03,2015,2,-0.002000000000000224,-0.03267973856209139,False
3.059,3.062,2015-02-04,2015,2,-0.0029999999999996696,0.09807126511931497,False
3.061,3.063,2015-02-05,2015,2,-0.002000000000000224,0.03265839320707453,False
3.065,3.068,2015-02-06,2015,2,-0.0030000000000001137,0.1632386549134779,False
3.064,3.065,2015-02-09,2015,2,-0.0009999999999998899,-0.09778357235984414,False
3.07,3.076,2015-02-10,2015,2,-0.006000000000000227,0.35889070146819524,False
3.092,3.094,2015-02-11,2015,2,-0.0019999999999997797,0.5851755526657954,True
3.079,3.082,2015-02-12,2015,2,-0.0029999999999996696,-0.3878474466709747,False
3.067,3.075,2015-02-13,2015,2,-0.008000000000000007,-0.2271252433484694,False
3.08,3.085,2015-02-16,2015,2,-0.004999999999999893,0.3252032520325132,False
3.081,3.083,2015-02-17,2015,2,-0.002000000000000224,-0.06482982171798213,False
3.083,3.086,2015-02-18,2015,2,-0.0029999999999996696,0.09730781706129843,False
3.084,3.087,2015-02-19,2015,2,-0.0030000000000001137,0.03240440699936453,False
3.084,3.089,2015-02-20,2015,2,-0.004999999999999893,0.06478781988985549,False
3.087,3.09,2015-02-23,2015,2,-0.0029999999999996696,0.03237293622531112,False
3.092,3.095,2015-02-24,2015,2,-0.0030000000000001137,0.16181229773464256,False
3.094,3.095,2015-02-25,2015,2,-0.001000000000000334,0.0,False
3.091,3.094,2015-02-26,2015,2,-0.0029999999999996696,-0.03231017770598532,False
3.091,3.095,2015-02-27,2015,2,-0.0040000000000000036,0.03232062055591456,False
3.093,3.097,2015-03-02,2015,3,-0.0040000000000000036,0.06462035541194844,False
3.091,3.093,2015-03-03,2015,3,-0.0019999999999997797,-0.12915724895059544,False
3.092,3.094,2015-03-04,2015,3,-0.0019999999999997797,0.03233107015840897,False
3.097,3.098,2015-03-05,2015,3,-0.0009999999999998899,0.12928248222365823,False
3.1,3.101,2015-03-06,2015,3,-0.0009999999999998899,0.09683666881858954,False
3.096,3.1,2015-03-09,2015,3,-0.0040000000000000036,-0.032247662044493364,False
3.098,3.1,2015-03-10,2015,3,-0.002000000000000224,0.0,False
3.098,3.101,2015-03-11,2015,3,-0.0030000000000001137,0.0322580645161219,False
3.096,3.099,2015-03-12,2015,3,-0.0030000000000001137,-0.06449532408899783,False
3.096,3.099,2015-03-13,2015,3,-0.0030000000000001137,0.0,False
3.095,3.099,2015-03-16,2015,3,-0.0040000000000000036,0.0,False
3.094,3.098,2015-03-17,2015,3,-0.0040000000000000036,-0.03226847370120245,False
3.098,3.1,2015-03-18,2015,3,-0.002000000000000224,0.06455777921239303,False
3.095,3.096,2015-03-19,2015,3,-0.0009999999999998899,-0.1290322580645209,False
3.087,3.091,2015-03-20,2015,3,-0.0040000000000000036,-0.1614987080103325,False
